,Unnamed: 0,consoles,games;
0,0,Series,Tetris;
1,1,Series,Pokemon;
2,2,Series,Call of Duty;
3,3,Series,Super Mario;
4,4,Series,Grand Theft Auto;
5,5,Series,FIFA;
6,6,Series,Minecraft;
7,7,All,Minecraft;
8,8,Series,Lego;
9,9,Series,Assassin's Creed;
10,10,Series,The Sims;
11,11,All,Grand Theft Auto V;
12,12,Series,Mario Kart;
13,13,Series,Final Fantasy;
14,14,Series,Need for Speed;
15,15,Series,Tomb Raider;
16,16,Series,Resident Evil;
17,17,Series,NBA 2K;
18,18,Series,Madden NFL;
19,19,Series,The Legend of Zelda;
20,20,Series,Wii/Nintendo Sports;
21,21,Series,Pro Evolution Soccer/eFootball;
22,22,Series,Sonic the Hedgehog;
23,23,Series,Monster Hunter;
24,24,Series,Gran Turismo;
25,25,Series,Dragon Quest;
26,26,Wii,Wii Sports;
27,27,Series,Halo;
28,28,Series,Mortal Kombat;
29,29,Series,Battlefield;
30,30,Series,Borderlands;
31,31,Series,Animal Crossing;
32,32,Series,PUBG;
33,33,Series,Worms;
34,34,Series,Super Smash Bros.;
35,35,Series,Mario Party;
36,36,Series,Just Dance;
37,37,Series,Red Dead;
38,38,Series,WWE 2K;
39,39,All,PlayerUnknown's Battlegrounds;
40,40,Series,Dragon Ball;
41,41,Series,God of War;
42,42,Series,Civilization;
43,43,Series,The Witcher;
44,44,Series,The Oregon Trail;
45,45,Series,Counter-Strike;
46,46,Series,Donkey Kong;
47,47,Series,Metal Gear;
48,48,Series,The Elder Scrolls;
49,49,Series,Diablo;
50,50,Series,Harry Potter/Wizarding World;
51,51,Series,Tekken;
52,52,Series,Lego Star Wars;
53,53,Series,Far Cry;
54,54,NS,Mario Kart 8 Deluxe;
55,55,Series,Bejeweled;
56,56,Series,Crash Bandicoot;
57,57,All,Red Dead Redemption 2;
58,58,Series,The Walking Dead: Telltale Games Series;
59,59,Series,Warriors;
60,60,Series,Street Fighter;
61,61,Series,Kirby;
62,62,Series,Fallout;
63,63,Series,Terraria;
64,64,All,Terraria;
65,65,Series,Uncharted;
66,66,Series,Wii Fit;
67,67,Series,Star Wars: Battlefront;
68,68,Series,Total War;
69,69,NS,Animal Crossing: New Horizons;
70,70,Series,BioShock;
71,71,Series,Gears of War;
72,72,Series,Spider-Man;
73,73,Series,World of WarCraft;
74,74,NES,Super Mario Bros.;
75,75,PC,Counter-Strike: Global Offensive;
76,76,Series,Guitar Hero;
77,77,All,The Witcher 3: Wild Hunt;
78,78,Series,Medal of Honor;
79,79,Series,Mega Man;
80,80,Wii,Mario Kart Wii;
81,81,Series,The Last of Us;
82,82,PC,PLAYERUNKNOWN'S BATTLEGROUNDS;
83,83,Series,Tom Clancy's Rainbow Six;
84,84,Series,Kingdom Hearts;
85,85,Series,Souls;
86,86,Series,Brain Age;
87,87,Series,NBA Live;
88,88,Series,Tom Clancy's Ghost Recon;
89,89,Series,Dark Souls;
90,90,Series,Football Manager;
91,91,PC,Minecraft;
92,92,Wii,Wii Sports Resort;
93,93,Series,Half-life;
94,94,Series,Marvel's Spider-Man;
95,95,Series,Saints Row;
96,96,GB,Pokémon Red / Green / Blue Version;
97,97,Series,Tony Hawk's;
98,98,Series,Tom Clancy's Splinter Cell;
99,99,All,Call of Duty: Black Ops II;
100,100,Series,Age of Empires;
101,101,Series,Ratchet & Clank;
102,102,DS,New Super Mario Bros.;
