,titres,test,avis
0,Hogwarts Legacy : l'Héritage de Poudlard,18/20,15.5/20
1,Resident Evil 4 (2023),18/20,17.3/20
2,Diablo IV,- -/20,- -/20
3,The Legend of Zelda : Tears of the Kingdom sur Switch,- -/20,- -/20
4,The Last of Us Part I,17/20,16.2/20
5,Star Wars Jedi : Survivor,- -/20,- -/20
6,Call of Duty : Modern Warfare 2 (2022),16/20,10.3/20
7,Call of Duty : Warzone 2.0,17/20,8.4/20
8,Atomic Heart,14/20,14.8/20
9,Meet Your Maker,14/20,16.3/20
10,Disney Dreamlight Valley,14/20,16.3/20
11,Dead Island 2,16/20,- -/20
12,Pokémon Écarlate / Violet sur Switch,16/20,9.4/20
13,Minecraft Legends,17/20,13.6/20
14,Wo Long : Fallen Dynasty,17/20,13.6/20
15,God of War : Ragnarok,19/20,15.9/20
16,Sherlock Holmes : The Awakened,16/20,10/20
17,FIFA 23,16/20,10/20
18,Everspace 2,15/20,avis non renseigné
19,The Mageseeker,test non renseigné,avis non renseigné
20,Strayed Lights,- -/20,- -/20
21,God of Rock,Non renseigné,Non renseigné
22,Road 96: Mile 0,Non renseigné,Non renseigné
23,Final Fantasy XVI sur PS5,- -/20,- -/20
24,Sons of the Forest sur PC,Non renseigné, 11.2/20
25,Tchia,16/20, 14.4/20
26,Starfield,- -/20,- -/20
27,Cyberpunk 2077 - Phantom Liberty,- -/20,- -/20
28,Octopath Traveler 2,17/20, 16.9/20
29,Horizon Forbidden West : Burning Shores,Non renseigné,Non renseigné
30,Splatoon 3 sur Switch,17/20, 14.3/20
31,Wild Hearts,16/20, 13.3/20
32,World of Warcraft : DragonFlight,17/20, 14/20
33,Project Zero : Le Masque de l'Eclipse Lunaire,13/20,Non renseigné
34,Redfall,- -/20,- -/20
35,Horizon : Call of the Mountain sur PS5,Non renseigné,Non renseigné
36,Counter-Strike 2 sur PC,- -/20,- -/20
37,Street Fighter 6,- -/20,- -/20
38,Summoners War : Chronicles,Non renseigné,Non renseigné
39,Suicide Squad : Kill the Justice League,- -/20,- -/20
40,Tekken 8,- -/20,- -/20
41,Forspoken,16/20, 10.1/20
42,Like a Dragon : Ishin !,15/20,Non renseigné
43,The Day Before,- -/20,- -/20
44,Assassin's Creed Infinity,- -/20,- -/20
45,Gotham Knights,16/20, 10.9/20
46,WWE 2K23,Non renseigné,Non renseigné
