Name,Publisher,Total_shipped,Total_sales,Date
Tetris,The Tetris Company,496.40m,N/A,01st Jan 88
Pokemon,Nintendo,464.84m,N/A,28th Sep 98
Call of Duty,Activision,400.00m,N/A,29th Oct 03
Super Mario,Nintendo,398.51m,N/A,20th Jul 83
Grand Theft Auto,Rockstar Games,395.00m,N/A,27th Mar 98
FIFA,EA Sports,325.00m,N/A,15th Dec 93
Minecraft,Mojang,238.00m,N/A,18th Nov 11
Minecraft,Mojang,238.00m,N/A,18th Nov 11
Lego,Warner Bros. Interactive Entertainment,203.22m,N/A,26th Sep 97
Assassin's Creed,Ubisoft,200.00m,N/A,13th Nov 07
The Sims,Electronic Arts,200.00m,N/A,04th Feb 00
Grand Theft Auto V,Rockstar Games,175.00m,N/A,17th Sep 13
Mario Kart,Nintendo,173.41m,N/A,01st Sep 92
Final Fantasy,Square,173.20m,N/A,18th Dec 87
Need for Speed,Electronic Arts,150.00m,N/A,31st Aug 94
Tomb Raider,Eidos Interactive,141.00m,N/A,14th Nov 96
Resident Evil,Capcom,139.00m,N/A,30th Mar 96
Madden NFL,Electronic Arts,130.00m,N/A,01st Jun 88
NBA 2K,2K Games,130.00m,N/A,10th Nov 99
The Legend of Zelda,Nintendo,125.31m,N/A,14th Jul 87
Wii/Nintendo Sports,Nintendo,124.65m,N/A,19th Nov 06
Pro Evolution Soccer/eFootball,Konami,112.50m,N/A,22nd Dec 95
Sonic the Hedgehog,Sega,95.51m,N/A,23rd Jun 91
Monster Hunter,Capcom,90.30m,N/A,21st Sep 04
Gran Turismo,Sony Interactive Entertainment,90.00m,N/A,12th May 98
Dragon Quest,Square,85.00m,N/A,27th May 86
Wii Sports,Nintendo,82.90m,N/A,19th Nov 06
Halo,Microsoft Game Studios,81.00m,N/A,15th Nov 01
Mortal Kombat,Warner Bros. Interactive Entertainment,79.00m,N/A,08th Oct 92
Battlefield,Electronic Arts,78.90m,N/A,10th Sep 02
Borderlands,2K Games,78.00m,N/A,20th Oct 09
Animal Crossing,Nintendo,76.46m,N/A,16th Sep 02
PUBG,PUBG Corporation,75.00m,N/A,20th Dec 17
Worms,Team17,75.00m,N/A,31st Oct 95
Super Smash Bros.,Nintendo,71.73m,N/A,26th Apr 99
Mario Party,Nintendo,70.09m,N/A,01st Feb 99
Just Dance,Ubisoft,70.00m,N/A,17th Nov 09
PlayerUnknown's Battlegrounds,PUBG Corporation,70.00m,N/A,17th Dec 17
Red Dead,Rockstar Games,70.00m,N/A,04th May 04
WWE 2K,2K Games,70.00m,N/A,02nd Mar 00
Dragon Ball,Bandai,65.85m,N/A,27th Sep 86
God of War,Sony Interactive Entertainment,65.50m,N/A,22nd Mar 05
Civilization,Microprose,65.00m,N/A,01st Sep 91
Counter-Strike,Valve,65.00m,N/A,09th Nov 00
Donkey Kong,Nintendo,65.00m,N/A,31st Jul 81
The Oregon Trail,MECC,65.00m,N/A,03rd Dec 71
The Witcher,CD Projekt,65.00m,N/A,30th Oct 07
Metal Gear,Konami,59.50m,N/A,13th Jul 87
The Elder Scrolls,Bethesda Softworks,58.62m,N/A,25th Mar 94
Diablo,Blizzard Entertainment,55.00m,N/A,03rd Jan 97
Harry Potter/Wizarding World,Electronic Arts,54.70m,N/A,15th Nov 01
Tekken,Namco,54.50m,N/A,11th Dec 94
Lego Star Wars,Warner Bros. Interactive Entertainment,53.20m,N/A,29th Mar 05
Far Cry,Ubisoft,52.50m,N/A,23rd Mar 04
Mario Kart 8 Deluxe,Nintendo,52.00m,N/A,28th Apr 17
The Walking Dead: Telltale Games Series,Telltale Games,50.00m,N/A,24th Apr 12
Bejeweled,PopCap Games,50.00m,N/A,30th May 01
Crash Bandicoot,Sony Interactive Entertainment,50.00m,N/A,09th Sep 96
Red Dead Redemption 2,Rockstar Games,50.00m,N/A,26th Oct 18
Warriors,KOEI,49.95m,N/A,30th Jun 97
Street Fighter,Capcom,49.00m,N/A,30th Aug 87
Kirby,Nintendo,47.38m,N/A,01st Aug 92
Fallout,Bethesda Softworks,46.43m,N/A,10th Oct 97
Terraria,505 Games,44.50m,N/A,16th May 11
Terraria,Re-Logic,44.50m,N/A,16th May 11
Uncharted,Sony Interactive Entertainment,44.25m,N/A,20th Nov 07
Wii Fit,Nintendo,43.80m,N/A,21st May 08
Star Wars: Battlefront,LucasArts,43.00m,N/A,21st Sep 04
Total War,Sega,42.15m,N/A,13th Jun 00
Animal Crossing: New Horizons    Read the review,Nintendo,41.59m,N/A,20th Mar 20
BioShock,2K Games,41.00m,N/A,21st Aug 07
Gears of War,Microsoft Game Studios,41.00m,N/A,07th Nov 06
Spider-Man,Parker Brothers,41.00m,N/A,01st Jan 82
World of WarCraft,Blizzard Entertainment,40.60m,N/A,23rd Nov 04
Super Mario Bros.,Nintendo,40.24m,N/A,18th Oct 85
Counter-Strike: Global Offensive,Valve,40.00m,N/A,21st Aug 12
Guitar Hero,Activision,40.00m,N/A,08th Nov 05
The Witcher 3: Wild Hunt,Warner Bros. Interactive Entertainment,40.00m,N/A,18th May 15
Medal of Honor,Electronic Arts,39.00m,N/A,31st Oct 99
Mega Man,Capcom,38.00m,N/A,17th Dec 87
Mario Kart Wii    Read the review,Nintendo,37.38m,N/A,27th Apr 08
The Last of Us,Sony Interactive Entertainment,37.00m,N/A,14th Jun 13
PLAYERUNKNOWN'S BATTLEGROUNDS,PUBG Corporation,36.60m,N/A,21st Dec 17
Kingdom Hearts,Square Enix,36.00m,N/A,17th Sep 02
Tom Clancy's Rainbow Six,Ubisoft,36.00m,N/A,21st Aug 98
Souls,Bandai Namco Entertainment,35.80m,N/A,06th Oct 09
Brain Age,Nintendo,35.09m,N/A,16th Apr 06
NBA Live,EA Sports,35.00m,N/A,01st Oct 94
Tom Clancy's Ghost Recon,Ubisoft,35.00m,N/A,13th Nov 01
Dark Souls,Bandai Namco Entertainment,33.40m,N/A,04th Oct 11
Football Manager,Sega,33.33m,N/A,05th Nov 04
Minecraft    Read the review,Mojang,33.15m,N/A,10th May 10
Wii Sports Resort    Read the review,Nintendo,33.14m,N/A,26th Jul 09
Half-life,Valve,33.10m,N/A,19th Nov 98
Marvel's Spider-Man,Sony Interactive Entertainment,33.00m,N/A,07th Sep 18
Saints Row,THQ,32.00m,N/A,29th Aug 06
Pokémon Red / Green / Blue Version,Nintendo,31.38m,N/A,30th Sep 98
Tony Hawk's,Activision,31.12m,N/A,29th Sep 99
Call of Duty: Black Ops II,Activision,31.00m,N/A,13th Nov 12
Tom Clancy's Splinter Cell,Ubisoft,31.00m,N/A,17th Nov 02
Age of Empires,Microsoft,30.82m,N/A,15th Oct 97
Ratchet & Clank,Sony Interactive Entertainment,30.81m,N/A,04th Nov 02
New Super Mario Bros.,Nintendo,30.80m,N/A,15th May 06
The Legend of Zelda: Breath of the Wild,Nintendo,30.70m,N/A,03rd Mar 17
Super Smash Bros. Ultimate    Read the review,Nintendo,30.44m,N/A,07th Dec 18
New Super Mario Bros. Wii    Read the review,Nintendo,30.32m,N/A,15th Nov 09
Tetris,Nintendo,30.26m,N/A,31st Jul 89
Call of Duty: Black Ops,Activision,30.00m,N/A,09th Nov 10
Call of Duty: Modern Warfare,Activision,30.00m,N/A,25th Oct 19
Call of Duty: Modern Warfare 3,Activision,30.00m,N/A,08th Nov 11
Command & Conquer,Electronic Arts,30.00m,N/A,26th Sep 95
Diablo III,Blizzard Entertainment,30.00m,N/A,15th May 15
Dying Light,Techland,30.00m,N/A,27th Jan 15
James Bond,Parker Bros.,30.00m,N/A,01st Jan 83
Mario & Sonic at the Olympic Games,Sega,30.00m,N/A,06th Nov 07
The Elder Scrolls V: Skyrim,Bethesda Softworks,30.00m,N/A,10th Nov 11
Wii Play,Nintendo,29.66m,N/A,12th Feb 07
The Legend of Zelda: Breath of the Wild,Nintendo,29.00m,N/A,03rd Mar 17
Nintendogs,Nintendo,28.64m,N/A,22nd Aug 05
Splatoon,Nintendo,28.38m,N/A,29th May 15
Duck Hunt,Nintendo,28.31m,N/A,15th Oct 85
Naruto: Ultimate Ninja,Bandai Namco Entertainment,28.11m,N/A,26th Jun 06
Wii Play    Read the review,Nintendo,28.02m,N/A,12th Feb 07
Devil May Cry,Capcom,28.00m,N/A,16th Oct 01
Farming Simulator,Astragon,28.00m,N/A,14th Apr 08
Tales of,Namco,27.75m,N/A,30th Sep 98
Grand Theft Auto: San Andreas,Rockstar Games,27.50m,N/A,26th Oct 04
Yoshi,Nintendo,27.31m,N/A,01st Jun 92
Portal,Valve,27.03m,N/A,10th Oct 07
Borderlands 2,2K Games,27.00m,N/A,18th Sep 12
FIFA 18,Electronic Arts,26.40m,N/A,26th Sep 17
Rayman,Ubisoft,26.00m,N/A,19th Sep 95
Pokémon Sword / Shield    Read the review,Nintendo,25.68m,N/A,15th Nov 19
Super Mario Odyssey    Read the review,Nintendo,25.12m,N/A,27th Oct 17
Grand Theft Auto IV,Rockstar Games,25.00m,N/A,02nd Dec 08
Human: Fall Flat,Curve Digital,25.00m,N/A,22nd Jul 16
Puyo Puyo,Sega,25.00m,N/A,11th Feb 02
Tiger Woods PGA Tour,EA Sports,25.00m,N/A,31st Aug 98
Batman: Arkham,Warner Bros. Interactive Entertainment,24.81m,N/A,25th Aug 09
Jikkyo Powerful Pro Yakyu,Konami,24.40m,N/A,11th Mar 94
Kinect Adventures!    Read the review,Microsoft Game Studios,24.00m,N/A,04th Nov 10
Petz,PF.Magic,24.00m,N/A,01st Jan 95
Nintendogs,Nintendo,23.96m,N/A,23rd Aug 05
Mario Kart DS,Nintendo,23.60m,N/A,14th Nov 05
Pokémon Gold / Silver Version,Nintendo,23.10m,N/A,14th Oct 00
God of War (2018),Sony Interactive Entertainment,23.00m,N/A,20th Apr 18
Terraria,Re-Logic,23.00m,N/A,16th May 11
Call of Duty: Modern Warfare 2,Activision,22.70m,N/A,10th Nov 09
Wii Fit    Read the review,Nintendo,22.67m,N/A,21st May 08
Teenage Mutant Ninja Turtles,Konami,22.60m,N/A,12th May 89
Luigi's Mansion,Nintendo,22.24m,N/A,18th Nov 01
Microsoft Flight Simulator,Microsoft,22.20m,N/A,01st Nov 82
SpongeBob SquarePants,THQ,22.00m,N/A,15th Mar 01
Yu-Gi-Oh!,Konami,21.80m,N/A,20th Mar 02
Yakuza,Sega,21.63m,N/A,05th Sep 06
Castlevania,Konami,21.63m,N/A,26th Sep 86
Dynasty Warriors,KOEI,21.28m,N/A,30th Jun 97
Wii Fit Plus,Nintendo,21.13m,N/A,04th Oct 09
Imagine,Ubisoft,21.00m,N/A,01st Oct 07
Final Fantasy X/X-2,Square,20.80m,N/A,17th Dec 01
Naruto: Ultimate Ninja Storm,Namco Bandai Games,20.80m,N/A,04th Nov 08
Pokémon Scarlet / Violet    Read the review,Nintendo,20.61m,N/A,18th Nov 22
Super Mario World,Nintendo,20.61m,N/A,13th Aug 91
Grand Theft Auto V    Read the review,Rockstar Games,N/A,20.32m,17th Sep 13
The Lord of the Rings,Melbourne House,20.17m,N/A,01st Nov 82
Super Robot Wars,Bandai,20.06m,N/A,20th Apr 91
Cyberpunk 2077,CD Projekt Red Studio,20.00m,N/A,10th Dec 20
Dying Light,Warner Bros. Interactive Entertainment,20.00m,N/A,27th Jan 15
Elden Ring,Bandai Namco Entertainment,20.00m,N/A,25th Feb 22
Fallout 4,Bethesda Softworks,20.00m,N/A,10th Nov 15
FIFA 19,EA Sports,20.00m,N/A,28th Sep 18
Frogger,Konami,20.00m,N/A,23rd Oct 81
Gundam,Bandai,20.00m,N/A,02nd May 97
Horizon,Sony Interactive Entertainment,20.00m,N/A,28th Feb 17
Horizon: Zero Dawn,Sony Interactive Entertainment,20.00m,N/A,28th Feb 17
Lemmings,Psygnosis,20.00m,N/A,14th Feb 91
Marvel's Spider-Man    Read the review,Sony Interactive Entertainment,20.00m,N/A,07th Sep 18
Monster Hunter: World,Capcom,20.00m,N/A,26th Jan 18
Prince of Persia,Ubisoft,20.00m,N/A,03rd Aug 89
Rayman Raving Rabbids,Ubisoft,20.00m,N/A,19th Nov 06
SimCity,Maxis,20.00m,N/A,02nd Feb 89
Simple,Agetec,20.00m,N/A,30th Nov 02
SingStar,Sony Interactive Entertainment,20.00m,N/A,21st May 04
Sniper Elite,Rebellion Developments,20.00m,N/A,18th Oct 05
Spyro,Sony Interactive Entertainment,20.00m,N/A,10th Sep 98
Stardew Valley,Chucklefish,20.00m,N/A,26th Feb 16
Stardew Valley,ConcernedApe,20.00m,N/A,26th Feb 16
Tom Clancy's The Division,Ubisoft,20.00m,N/A,08th Mar 16
Watch Dogs,Ubisoft,20.00m,N/A,27th May 14
God of War (2018)    Read the review,Sony Interactive Entertainment,19.50m,N/A,20th Apr 18
Grand Theft Auto V,Rockstar Games,N/A,19.39m,18th Nov 14
StarCraft,Blizzard Entertainment,19.10m,N/A,31st Mar 98
Brain Age: Train Your Brain in Minutes a Day,Nintendo,19.01m,N/A,17th Apr 06
Call of Duty: Ghosts,Activision,19.00m,N/A,05th Nov 13
Driver,GT Interactive,19.00m,N/A,30th Jun 99
WarCraft,Blizzard Entertainment,19.00m,N/A,23rd Nov 94
Mario Kart 7    Read the review,Nintendo,18.97m,N/A,04th Dec 11
Super Mario Party    Read the review,Nintendo,18.79m,N/A,05th Oct 18
Midnight Club,Rockstar Games,18.50m,N/A,26th Oct 00
Super Mario Land,Nintendo,18.14m,N/A,01st Aug 89
Ace Combat,Namco,18.00m,N/A,09th Sep 95
Professor Layton,Nintendo,18.00m,N/A,10th Feb 08
Need for Speed: Most Wanted,Electronic Arts,17.80m,N/A,15th Nov 05
Pokémon Diamond / Pearl Version,Nintendo,17.67m,N/A,28th Apr 07
Grand Theft Auto: Vice City,Rockstar Games,17.50m,N/A,29th Oct 02
Grand Theft Auto: San Andreas,Rockstar Games,17.30m,N/A,26th Oct 04
Super Mario Bros. 3,Nintendo,17.28m,N/A,12th Feb 90
RollerCoaster Tycoon,Hasbro Interactive,17.23m,N/A,22nd Mar 99
Persona,Atlus,17.10m,N/A,01st Nov 96
SoulCalibur,Namco,17.00m,N/A,20th Dec 96
Zuma,PopCap Games,17.00m,N/A,12th Dec 03
Zuma,PopCap Games,17.00m,N/A,12th Dec 03
Garry's Mod,Valve,16.90m,N/A,29th Nov 06
Pokemon Mystery Dungeon,Nintendo,16.86m,N/A,18th Sep 06
Metroid,Nintendo,16.80m,N/A,15th Aug 87
Pokémon X/Y    Read the review,Nintendo,16.65m,N/A,12th Oct 13
Hitman,Eidos Interactive,16.59m,N/A,21st Nov 00
Mario Tennis,Nintendo,16.53m,N/A,14th Aug 95
Deus Ex,Eidos Interactive,16.40m,N/A,17th Jun 00
Pokémon Sun/Moon,Nintendo,16.29m,N/A,18th Nov 16
Uncharted 4: A Thief's End,Sony Interactive Entertainment,16.25m,N/A,10th May 16
Pokémon Ruby / Sapphire Version,Nintendo,16.22m,N/A,17th Mar 03
Grand Theft Auto: Vice City,Rockstar Games,N/A,16.15m,28th Oct 02
Borderlands 3,2K Games,16.00m,N/A,13th Sep 19
FIFA 11,EA Sports,16.00m,N/A,28th Sep 10
Mass Effect,Electronic Arts,16.00m,N/A,20th Nov 07
The Sims,Electronic Arts,16.00m,N/A,04th Feb 00
The Witcher 3: Wild Hunt,Warner Bros. Interactive Entertainment,15.90m,N/A,19th May 15
Grand Theft Auto V,Rockstar Games,N/A,15.86m,17th Sep 13
Call of Duty 4: Modern Warfare,Activision,15.70m,N/A,05th Nov 07
Call of Duty: World at War,Activision,15.70m,N/A,11th Nov 08
Pokémon Black / White Version    Read the review,Nintendo,15.64m,N/A,06th Mar 11
Need for Speed: Carbon,Electronic Arts,15.60m,N/A,30th Oct 06
Momotaro Dentetsu,Konami,15.50m,N/A,02nd Dec 88
Ring Fit Adventure,Nintendo,15.22m,N/A,18th Oct 19
Call of Duty: Black Ops 3,Activision,N/A,15.09m,06th Nov 15
"Pokémon: Let's Go, Pikachu/Eevee    Read the review",Nintendo,15.07m,N/A,16th Nov 18
Counter-Strike: Source,VU Games,15.00m,N/A,16th Nov 04
Assassin's Creed IV: Black Flag,Ubisoft,15.00m,N/A,29th Oct 13
Backyard Sports,Humongous Entertainment,15.00m,N/A,01st Jan 97
Barbie,Hi Tech Expressions,15.00m,N/A,01st Dec 91
Battlefield 3,Electronic Arts,15.00m,N/A,25th Oct 11
Burnout,EA Sports,15.00m,N/A,01st Nov 01
Dead Rising,Capcom,15.00m,N/A,08th Aug 06
Famista,Namco,15.00m,N/A,10th Dec 86
Gex,BMG Interactive Entertainment,15.00m,N/A,01st Apr 95
Just Cause,Eidos Interactive,15.00m,N/A,27th Sep 06
Mario & Sonic at the Olympic Games,Sega,15.00m,N/A,06th Nov 07
Mortal Kombat 11,Warner Bros. Interactive Entertainment,15.00m,N/A,23rd Apr 19
Need for Speed: Underground,Electronic Arts,15.00m,N/A,17th Nov 03
Red Dead Redemption,Rockstar Games,15.00m,N/A,18th May 10
Sonic the Hedgehog,Sega,15.00m,N/A,23rd Jun 91
The Elder Scrolls Online,Bethesda Softworks,15.00m,N/A,04th Apr 14
Theme Park,Bullfrog Productions,15.00m,N/A,01st Jun 94
Pokémon Brilliant Diamond / Shining Pearl    Read the review,Nintendo,14.92m,N/A,19th Nov 21
Gran Turismo 3: A-Spec,Sony Computer Entertainment,14.89m,N/A,09th Jul 01
Brain Age 2: More Training in Minutes a Day,Nintendo,14.88m,N/A,20th Aug 07
Call of Duty: Modern Warfare 3,Activision,N/A,14.82m,08th Nov 11
New Super Mario Bros. U Deluxe,Nintendo,14.75m,N/A,11th Jan 19
Call of Duty: Black Ops,Activision,N/A,14.74m,09th Nov 10
Pokémon Yellow: Special Pikachu Edition,Nintendo,14.64m,N/A,19th Oct 99
Pokémon Legends: Arceus    Read the review,Nintendo,14.63m,N/A,28th Jan 22
Pokémon Omega Ruby/Pokémon Alpha Sapphire,Nintendo,14.53m,N/A,21st Nov 14
FIFA 13,EA Sports,14.50m,N/A,25th Sep 12
Grand Theft Auto III,Rockstar Games,14.50m,N/A,22nd Oct 01
Halo 3    Read the review,Microsoft Game Studios,14.50m,N/A,25th Sep 07
Lego Batman,Warner Bros. Interactive Entertainment,14.40m,N/A,23rd Sep 08
Everybody's Golf,Sony Interactive Entertainment,14.19m,N/A,30th Apr 98
Final Fantasy VII,Sony Computer Entertainment,14.10m,N/A,07th Sep 97
Street Fighter II,Capcom,14.05m,N/A,15th Feb 91
Dead Island,Deep Silver,14.00m,N/A,06th Sep 11
Mafia,2K Games,14.00m,N/A,29th Aug 02
NBA 2K20,2K Sports,14.00m,N/A,06th Sep 19
Star Wars Battlefront (2015),Electronic Arts,14.00m,N/A,17th Nov 15
Yo-kai Watch,Nintendo,14.00m,N/A,06th Nov 15
Portal,Valve,13.97m,N/A,10th Oct 07
Red Dead Redemption 2    Read the review,Rockstar Games,N/A,13.94m,26th Oct 18
Call of Duty: Black Ops II    Read the review,Activision,N/A,13.86m,13th Nov 12
Call of Duty: Black Ops II,Activision,N/A,13.80m,13th Nov 12
Fire Emblem,Nintendo,13.78m,N/A,03rd Nov 03
