Name,Platform,Test_MC,Players_MC
#DRIVE,SWITCH,69.0,7.0
#IDARB,XBOX,77.0,6.9
#KILLALLZOMBIES,XBOX,53.0,
'SPLOSION MAN,XBOX,84.0,7.7
.DETUNED,PLAYSTATION,,
.HACK//G.U. LAST RECODE,PC,69.0,8.0
.HACK//G.U. LAST RECODE,PLAYSTATION,76.0,8.1
.HACK//G.U. LAST RECODE,SWITCH,76.0,7.1
.HACK//G.U. VOL. 1//REBIRTH,PLAYSTATION,69.0,8.0
.HACK//G.U. VOL. 2//REMINISCE,PLAYSTATION,61.0,8.3
.HACK//G.U. VOL. 3//REDEMPTION,PLAYSTATION,60.0,8.7
.HACK//INFECTION PART 1,PLAYSTATION,75.0,8.3
.HACK//MUTATION PART 2,PLAYSTATION,76.0,8.5
.HACK//OUTBREAK PART 3,PLAYSTATION,70.0,8.2
.HACK//QUARANTINE PART 4,PLAYSTATION,70.0,8.2
0 DAY ATTACK ON EARTH,XBOX,,
007 LEGENDS,PLAYSTATION,,
007 LEGENDS,XBOX,,
007 RACING,PLAYSTATION,51.0,5.0
007: NIGHTFIRE,PC,59.0,6.1
007: QUANTUM OF SOLACE,DS,65.0,
007: QUANTUM OF SOLACE,PC,70.0,6.3
007: QUANTUM OF SOLACE,PLAYSTATION,65.0,6.7
007: QUANTUM OF SOLACE,WII,54.0,7.3
007: QUANTUM OF SOLACE,XBOX,65.0,7.1
007: THE WORLD IS NOT ENOUGH,NINTENDO,81.0,7.9
007: THE WORLD IS NOT ENOUGH,PLAYSTATION,61.0,6.8
0RBITALIS,PC,73.0,7.2
1-2-SWITCH,SWITCH,58.0,
10 SECOND NINJA,PC,72.0,7.1
10 SECOND NINJA X,PLAYSTATION,76.0,5.5
10 SECOND NINJA X,XBOX,82.0,
100 CLASSIC BOOKS,DS,70.0,6.5
1000 TINY CLAWS,PLAYSTATION,76.0,6.6
1001 SPIKES,PLAYSTATION,78.0,6.5
100FT ROBOT GOLF,PLAYSTATION,56.0,5.6
101-IN-1 EXPLOSIVE MEGAMIX,DS,,
101-IN-1 SPORTS PARTY MEGAMIX,WII,,
1080: AVALANCHE,AUTRE,73.0,8.0
11-11: MEMORIES RETOLD,PC,73.0,6.6
11-11: MEMORIES RETOLD,PLAYSTATION,77.0,7.7
11-11: MEMORIES RETOLD,XBOX,77.0,7.0
