Name,Platform,Publisher,Global Sales,Date de sortie
Tetris,Series,The Tetris Company,496.40,1988.0
Pokemon,Series,Nintendo,464.84,1998.0
Call of Duty,Series,Activision,400.00,2003.0
Super Mario,Series,Nintendo,398.51,1983.0
Grand Theft Auto,Series,Rockstar Games,395.00,1998.0
FIFA,Series,EA Sports,325.00,1993.0
Minecraft,Series,Mojang,238.00,2011.0
Minecraft,All,Mojang,238.00,2011.0
Lego,Series,Warner Bros. Interactive Entertainment,203.22,1997.0
Assassin's Creed,Series,Ubisoft,200.00,2007.0
The Sims,Series,Electronic Arts,200.00,2000.0
Grand Theft Auto V,All,Rockstar Games,175.00,2013.0
Mario Kart,Series,Nintendo,173.41,1992.0
Final Fantasy,Series,Square,173.20,1987.0
Need for Speed,Series,Electronic Arts,150.00,1994.0
Tomb Raider,Series,Eidos Interactive,141.00,1996.0
Resident Evil,Series,Capcom,139.00,1996.0
Madden NFL,Series,Electronic Arts,130.00,1988.0
NBA 2K,Series,2K Games,130.00,1999.0
The Legend of Zelda,Series,Nintendo,125.31,1987.0
Wii/Nintendo Sports,Series,Nintendo,124.65,2006.0
Pro Evolution Soccer/eFootball,Series,Konami,112.50,1995.0
Sonic the Hedgehog,Series,Sega,95.51,1991.0
Monster Hunter,Series,Capcom,90.30,2004.0
Gran Turismo,Series,Sony Interactive Entertainment,90.00,1998.0
Dragon Quest,Series,Square,85.00,1986.0
Wii Sports,Wii,Nintendo,82.90,2006.0
Halo,Series,Microsoft Game Studios,81.00,2001.0
Mortal Kombat,Series,Warner Bros. Interactive Entertainment,79.00,1992.0
Battlefield,Series,Electronic Arts,78.90,2002.0
Borderlands,Series,2K Games,78.00,2009.0
Animal Crossing,Series,Nintendo,76.46,2002.0
PUBG,Series,PUBG Corporation,75.00,2017.0
Worms,Series,Team17,75.00,1995.0
Super Smash Bros.,Series,Nintendo,71.73,1999.0
Mario Party,Series,Nintendo,70.09,1999.0
Just Dance,Series,Ubisoft,70.00,2009.0
PlayerUnknown's Battlegrounds,Series,PUBG Corporation,70.00,2017.0
Red Dead,Series,Rockstar Games,70.00,2004.0
WWE 2K,All,2K Games,70.00,2000.0
Dragon Ball,Series,Bandai,65.85,1986.0
God of War,Series,Sony Interactive Entertainment,65.50,2005.0
Civilization,Series,Microprose,65.00,1991.0
Counter-Strike,Series,Valve,65.00,2000.0
Donkey Kong,Series,Nintendo,65.00,1981.0
The Oregon Trail,Series,MECC,65.00,2071.0
The Witcher,Series,CD Projekt,65.00,2007.0
Metal Gear,Series,Konami,59.50,1987.0
The Elder Scrolls,Series,Bethesda Softworks,58.62,1994.0
Diablo,Series,Blizzard Entertainment,55.00,1997.0
Harry Potter/Wizarding World,Series,Electronic Arts,54.70,2001.0
Tekken,Series,Namco,54.50,1994.0
Lego Star Wars,Series,Warner Bros. Interactive Entertainment,53.20,2005.0
Far Cry,Series,Ubisoft,52.50,2004.0
Mario Kart 8 Deluxe,NS,Nintendo,52.00,2017.0
The Walking Dead: Telltale Games Series,Series,Telltale Games,50.00,2012.0
Bejeweled,Series,PopCap Games,50.00,2001.0
Crash Bandicoot,All,Sony Interactive Entertainment,50.00,1996.0
Red Dead Redemption 2,Series,Rockstar Games,50.00,2018.0
Warriors,Series,KOEI,49.95,1997.0
Street Fighter,Series,Capcom,49.00,1987.0
Kirby,Series,Nintendo,47.38,1992.0
Fallout,Series,Bethesda Softworks,46.43,1997.0
Terraria,Series,505 Games,44.50,2011.0
Terraria,All,Re-Logic,44.50,2011.0
Uncharted,Series,Sony Interactive Entertainment,44.25,2007.0
Wii Fit,Series,Nintendo,43.80,2008.0
Star Wars: Battlefront,Series,LucasArts,43.00,2004.0
Total War,Series,Sega,42.15,2000.0
